,time,MPL,MOAS_prefix_num,MOAS_AS,MOAS,new_MOAS,MOAS_num,withdraw_num,peer_increase,peer_num,new_prefix_num,MOAS_Ann_num,own_Ann_num,new_sub_prefix,Victim_AS,Diff_Ann,duplicate_ann,withdraw_unique_prefix_num,withdraw_unique_prefix,label_0,label_1,label_2,label_3,diff_1,len_path3,len_path2,ann_shorter_1,ann_longer_1,len_path4,len_path5,diff_2,ann_longer_0
1587736800.0,2020-04-24 14:00:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,4,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587736860.0,2020-04-24 14:01:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,4,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587736920.0,2020-04-24 14:02:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,4,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587736980.0,2020-04-24 14:03:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,4,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587737040.0,2020-04-24 14:04:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,4,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587737100.0,2020-04-24 14:05:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,4,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587737160.0,2020-04-24 14:06:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,4,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587737220.0,2020-04-24 14:07:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,4,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587737280.0,2020-04-24 14:08:00,4,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,1,5,0,0,12,set(),18106,0,11,0,set(),0,0,0,0,,,,,,1.0,,,
1587737340.0,2020-04-24 14:09:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587737400.0,2020-04-24 14:10:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587737460.0,2020-04-24 14:11:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,18,set(),18106,0,18,0,set(),0,0,0,0,,,,,,,,,
1587737520.0,2020-04-24 14:12:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587737580.0,2020-04-24 14:13:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
1587737640.0,2020-04-24 14:14:00,0,0,"defaultdict(<class 'set'>, {})",set(),0,0,0,0,5,0,0,0,set(),18106,0,0,0,set(),0,0,0,0,,,,,,,,,
